
============================================================
Тестирование BTCUSDT
============================================================
[BB-Donchian] СИГНАЛ SHORT по цене 86297.30, стоп 87443.23, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 87029.60, стоп 88278.40, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 88278.80, стоп 89464.13, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 87900.00, стоп 86859.27, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 89926.70, стоп 91371.90, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 90308.60, стоп 89677.80, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 86322.20, стоп 84376.77, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 90780.80, стоп 93254.53, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 89679.40, стоп 88523.30, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 91392.90, стоп 92741.63, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 89907.40, стоп 91434.70, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 92670.40, стоп 91519.53, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 89829.10, стоп 88091.27, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 89879.90, стоп 88431.23, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 86989.40, стоп 85700.83, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 87220.90, стоп 85585.57, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 87173.90, стоп 88762.23, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 84433.10, стоп 82457.80, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 85470.10, стоп 83492.47, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 89132.50, стоп 89823.53, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 89900.90, стоп 90759.97, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 88002.10, стоп 86983.73, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 87178.10, стоп 86444.03, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 90100.10, стоп 91060.70, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 87525.50, стоп 88544.23, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 87911.80, стоп 88776.40, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 87586.50, стоп 86854.77, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 87980.50, стоп 87308.33, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 90284.20, стоп 91352.27, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 90599.90, стоп 91448.20, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 91490.70, стоп 92292.03, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 92841.50, стоп 94102.50, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 93103.60, стоп 94239.57, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 93714.60, стоп 92537.03, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 90708.80, стоп 91545.47, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 90701.30, стоп 89962.43, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 93414.90, стоп 94530.57, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 96708.60, стоп 98737.63, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 95933.00, стоп 98014.90, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 93624.60, стоп 92921.83, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 91124.90, стоп 89534.90, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 89382.60, стоп 87514.63, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 86453.10, стоп 85230.50, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 89202.30, стоп 90061.13, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 90039.70, стоп 91005.70, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 88012.20, стоп 86891.20, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 84891.60, стоп 82792.70, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 81255.20, стоп 79941.10, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 77727.20, стоп 76120.13, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 70953.30, стоп 72424.17, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 70387.10, стоп 71642.00, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 67136.00, стоп 66025.67, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 70786.60, стоп 71585.07, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 69060.90, стоп 68312.27, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 68263.00, стоп 67301.23, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 68863.80, стоп 67632.67, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 66138.10, стоп 65183.73, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 66952.60, стоп 66077.47, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 66462.40, стоп 65587.27, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 67934.50, стоп 68687.70, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 64895.10, стоп 63406.07, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 65916.70, стоп 64441.13, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 67367.20, стоп 69076.43, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 66082.60, стоп 64726.00, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 69460.20, стоп 68122.97, риск 3.0%
